/root/miniconda3/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
🔥 [指挥部介入] 正在从真实的 Parquet 矿脉中构建全局词表...
✅ 词表重塑完毕！(模型不再是文盲！)
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa_full/data/train-full.parquet']
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa_full/data/test-full.parquet']
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa_full/data/test-full.parquet']
[2026-02-25 18:19:05] Running dummy_scienceqa/liquid_real_train on device=cuda
[2026-02-25 18:22:09] [dummy_scienceqa/liquid_real_train] epoch=2 step=200 loss=1.0406 acc=0.6519
[2026-02-25 18:22:12] [dummy_scienceqa/liquid_real_train] epoch=2 step=220 loss=1.0284 acc=0.6557
[2026-02-25 18:22:15] [dummy_scienceqa/liquid_real_train] epoch=2 step=240 loss=1.0256 acc=0.6547
[2026-02-25 18:22:18] [dummy_scienceqa/liquid_real_train] epoch=2 step=260 loss=1.0185 acc=0.6548
[2026-02-25 18:22:21] [dummy_scienceqa/liquid_real_train] epoch=2 step=280 loss=1.0046 acc=0.6569
[2026-02-25 18:22:24] [dummy_scienceqa/liquid_real_train] epoch=2 step=300 loss=1.0010 acc=0.6554
[2026-02-25 18:22:26] [dummy_scienceqa/liquid_real_train] epoch=2 step=320 loss=1.0002 acc=0.6531
[2026-02-25 18:22:29] [dummy_scienceqa/liquid_real_train] epoch=2 step=340 loss=0.9933 acc=0.6533
[2026-02-25 18:22:32] [dummy_scienceqa/liquid_real_train] epoch=2 step=360 loss=0.9936 acc=0.6505
[2026-02-25 18:22:35] [dummy_scienceqa/liquid_real_train] epoch=2 step=380 loss=0.9862 acc=0.6505
[2026-02-25 18:22:38] [dummy_scienceqa/liquid_real_train] epoch=2 step=400 loss=0.9843 acc=0.6503
[2026-02-25 18:22:41] [dummy_scienceqa/liquid_real_train] epoch=2 step=420 loss=0.9751 acc=0.6506
[2026-02-25 18:22:44] [dummy_scienceqa/liquid_real_train] epoch=2 step=440 loss=0.9730 acc=0.6520
[2026-02-25 18:22:47] [dummy_scienceqa/liquid_real_train] epoch=2 step=460 loss=0.9781 acc=0.6493
[2026-02-25 18:22:49] [dummy_scienceqa/liquid_real_train] epoch=2 step=480 loss=0.9717 acc=0.6510
[2026-02-25 18:22:52] [dummy_scienceqa/liquid_real_train] epoch=2 step=500 loss=0.9634 acc=0.6544
[2026-02-25 18:22:55] [dummy_scienceqa/liquid_real_train] epoch=2 step=520 loss=0.9590 acc=0.6552
[2026-02-25 18:22:58] [dummy_scienceqa/liquid_real_train] epoch=2 step=540 loss=0.9581 acc=0.6532
[2026-02-25 18:23:01] [dummy_scienceqa/liquid_real_train] epoch=2 step=560 loss=0.9524 acc=0.6545
[2026-02-25 18:23:04] [dummy_scienceqa/liquid_real_train] epoch=2 step=580 loss=0.9483 acc=0.6550
[2026-02-25 18:23:07] [dummy_scienceqa/liquid_real_train] epoch=2 step=600 loss=0.9448 acc=0.6566
[2026-02-25 18:23:11] [dummy_scienceqa/liquid_real_train] epoch=2 step=620 loss=0.9372 acc=0.6562
[2026-02-25 18:23:14] [dummy_scienceqa/liquid_real_train] epoch=2 step=640 loss=0.9352 acc=0.6551
[2026-02-25 18:23:17] [dummy_scienceqa/liquid_real_train] epoch=2 step=660 loss=0.9311 acc=0.6550
[2026-02-25 18:23:19] [dummy_scienceqa/liquid_real_train] epoch=2 step=680 loss=0.9271 acc=0.6557
[2026-02-25 18:23:23] [dummy_scienceqa/liquid_real_train] epoch=2 step=700 loss=0.9275 acc=0.6557
[2026-02-25 18:23:26] [dummy_scienceqa/liquid_real_train] epoch=2 step=720 loss=0.9263 acc=0.6564
[2026-02-25 18:23:29] [dummy_scienceqa/liquid_real_train] epoch=2 step=740 loss=0.9221 acc=0.6578
[2026-02-25 18:23:32] [dummy_scienceqa/liquid_real_train] epoch=2 step=760 loss=0.9187 acc=0.6582
[2026-02-25 18:23:35] [dummy_scienceqa/liquid_real_train] epoch=2 step=780 loss=0.9129 acc=0.6599
[2026-02-25 18:24:13] [dummy_scienceqa/liquid_real_train] epoch=3 step=20 loss=0.5846 acc=0.7812
[2026-02-25 18:24:16] [dummy_scienceqa/liquid_real_train] epoch=3 step=40 loss=0.5723 acc=0.7781
[2026-02-25 18:24:19] [dummy_scienceqa/liquid_real_train] epoch=3 step=60 loss=0.5936 acc=0.7771
[2026-02-25 18:24:22] [dummy_scienceqa/liquid_real_train] epoch=3 step=80 loss=0.5842 acc=0.7766
[2026-02-25 18:24:25] [dummy_scienceqa/liquid_real_train] epoch=3 step=100 loss=0.5796 acc=0.7806
[2026-02-25 18:24:28] [dummy_scienceqa/liquid_real_train] epoch=3 step=120 loss=0.5666 acc=0.7828
[2026-02-25 18:24:31] [dummy_scienceqa/liquid_real_train] epoch=3 step=140 loss=0.5785 acc=0.7790
[2026-02-25 18:24:35] [dummy_scienceqa/liquid_real_train] epoch=3 step=160 loss=0.5671 acc=0.7812
[2026-02-25 18:24:38] [dummy_scienceqa/liquid_real_train] epoch=3 step=180 loss=0.5807 acc=0.7799
[2026-02-25 18:24:40] [dummy_scienceqa/liquid_real_train] epoch=3 step=200 loss=0.5819 acc=0.7794
[2026-02-25 18:24:43] [dummy_scienceqa/liquid_real_train] epoch=3 step=220 loss=0.5714 acc=0.7807
[2026-02-25 18:24:46] [dummy_scienceqa/liquid_real_train] epoch=3 step=240 loss=0.5706 acc=0.7802
[2026-02-25 18:24:50] [dummy_scienceqa/liquid_real_train] epoch=3 step=260 loss=0.5709 acc=0.7784
[2026-02-25 18:24:53] [dummy_scienceqa/liquid_real_train] epoch=3 step=280 loss=0.5756 acc=0.7763
[2026-02-25 18:24:56] [dummy_scienceqa/liquid_real_train] epoch=3 step=300 loss=0.5732 acc=0.7781
[2026-02-25 18:24:58] [dummy_scienceqa/liquid_real_train] epoch=3 step=320 loss=0.5697 acc=0.7791
[2026-02-25 18:25:01] [dummy_scienceqa/liquid_real_train] epoch=3 step=340 loss=0.5730 acc=0.7778
[2026-02-25 18:25:04] [dummy_scienceqa/liquid_real_train] epoch=3 step=360 loss=0.5696 acc=0.7792
[2026-02-25 18:25:07] [dummy_scienceqa/liquid_real_train] epoch=3 step=380 loss=0.5668 acc=0.7789
[2026-02-25 18:25:10] [dummy_scienceqa/liquid_real_train] epoch=3 step=400 loss=0.5730 acc=0.7788
[2026-02-25 18:25:13] [dummy_scienceqa/liquid_real_train] epoch=3 step=420 loss=0.5744 acc=0.7787
[2026-02-25 18:25:17] [dummy_scienceqa/liquid_real_train] epoch=3 step=440 loss=0.5723 acc=0.7793
[2026-02-25 18:25:19] [dummy_scienceqa/liquid_real_train] epoch=3 step=460 loss=0.5680 acc=0.7806
[2026-02-25 18:25:22] [dummy_scienceqa/liquid_real_train] epoch=3 step=480 loss=0.5675 acc=0.7806
[2026-02-25 18:25:25] [dummy_scienceqa/liquid_real_train] epoch=3 step=500 loss=0.5681 acc=0.7808
[2026-02-25 18:25:28] [dummy_scienceqa/liquid_real_train] epoch=3 step=520 loss=0.5658 acc=0.7802
[2026-02-25 18:25:31] [dummy_scienceqa/liquid_real_train] epoch=3 step=540 loss=0.5659 acc=0.7795
[2026-02-25 18:25:34] [dummy_scienceqa/liquid_real_train] epoch=3 step=560 loss=0.5678 acc=0.7798
[2026-02-25 18:25:37] [dummy_scienceqa/liquid_real_train] epoch=3 step=580 loss=0.5718 acc=0.7781
[2026-02-25 18:25:40] [dummy_scienceqa/liquid_real_train] epoch=3 step=600 loss=0.5702 acc=0.7778
[2026-02-25 18:25:43] [dummy_scienceqa/liquid_real_train] epoch=3 step=620 loss=0.5682 acc=0.7766
